X,Y,FID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,FIPS,DIRECTIONS,NAICSCODE,NAICSDESCR,GEOPREC,PHONELOC,AGENCIES,AGENCY_PH,UNIQUE_ID,NUM_AGENCY,LONGITUDE,LATITUDE,ZIP4
-10528133.3483,4735653.5605,14,FLETCHER DANIELS STATE OFFICE BUILDING,(816) 889-2648,615 EAST 13TH STREET,NOT AVAILABLE,KANSAS CITY,MO,64106,JACKSON,29095,ENTITY IS LOCATED ON THE SOUTH SIDE OF EAST 13TH STREET BETWEEN CHERRY STREET AND HOLMES STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,OFFICE OF ADMINISTRATION,NOT AVAILABLE,10405367,NOT AVAILABLE,-94.575831,39.097544,2829
-10254418.8839,3829233.7285,15,MONROE STATE OFFICE BUILDING,NOT AVAILABLE,122 SAINT JOHN STREET,NOT AVAILABLE,MONROE,LA,71201,OUACHITA,22073,LOCATED ON THE SW SIDE OF SAINT JOHN STREET 0.02 MILES NW OF GRAMMONT STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,DIVISION OF ADMINISTRATION,NOT AVAILABLE,10404896,NOT AVAILABLE,-92.1170121,32.5008326,7370
-10284631.647,4131117.4073,16,DEPARTMENT OF AGRICULTURE,(501) 683-4851,1 NATURAL RESOURCE DRIVE,NOT AVAILABLE,LITTLE ROCK,AR,72205,PULASKI,05119,"AT THE INTERSECTION OF NATURAL RESOURCE DR AND WEST MARKHAM ST FOLLOW NATURAL RESOURCE DRIVE NORTH FOR 0.48 MILES, TRAVEL EAST FOR 0.18 MILES THEN TRAVEL SOUTH FOR 0.04 MILES LOCATED ON THE WEST SIDE OF THE EASTERMOST SECTION OF NATURAL RESOURCES DRIVE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF AGRICULTURE,NOT AVAILABLE,10405335,1,-92.388418,34.758551,1539
-17573027.6328,2428196.6795,17,PRINCESS RUTH KEELIKOLANI BUILDING,NOT AVAILABLE,830 PUNCHBOWL STREET,NOT AVAILABLE,HONOLULU,HI,96813,HONOLULU,15003,LOCATED ON THE NW SIDE OF PUNCHBOWL STREET BETWEEN HALEKAUWILA STREET AND QUEEN STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"DEPARTMENT OF LABOR AND INDUSTRIAL RELATIONS; DEPARTMENT OF TAXATION",NOT AVAILABLE,10404651,2,-157.8611929,21.3042693,5095
-9376796.5055,3553854.1226,18,CCOC BUILDING 4030,NOT AVAILABLE,4040 ESPLANADE WAY,NOT AVAILABLE,TALLAHASSEE,FL,32311,LEON,12073,LOCATED ON THE WEST SIDE OF ESPLANADE WAY 0.24 MILES NORTH OF SHUMARD OAK BOULEVARD,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,DEPARTMENT OF VETERANS AFFAIRS,(850) 487-4533,10405186,1,-84.2331966,30.3905751,7830
-11794825.0374,4255784.4782,19,SOUTH COMPLEX - JOSEPH MONTOYA BUILDING,NOT AVAILABLE,1100 SOUTH SAINT FRANCIS DRIVE,NOT AVAILABLE,SANTA FE,NM,87505,SANTA FE,35049,LOCATED ON THE SW QUADRANT OF SOUTH SAINT FRANCIS DRIVE AND WEST CORDOVA ROAD,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"ECONOMIC DEVELOPMENT DEPARTMENT; GENERAL SERVICES DEPARTMENT; TAXATION AND REVENUE",(505) 827-0700,10405001,3,-105.9547162,35.6734748,4147
-16684428.2551,8675794.0471,20,ALASKA DEPARTMENT OF ENVIRONMENTAL CONSERVATION BUILDING,(907) 269-7500,555 CORDOVA STREET,NOT AVAILABLE,ANCHORAGE,AK,99501,ANCHORAGE,02020,LOCATED ON EAST SIDE OF CORDOVA STREET BETWEEN EAST 5TH AVENUE AND EAST 6TH AVENUE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,ALASKA DEPARTMENT OF ENVIRONMENTAL CONSERVATION,NOT AVAILABLE,10405324,1,-149.878769,61.2168841,2617
-8410081.228,4746625.395,21,DELAWARE DEPARTMENT OF CORRECTIONS CENTRAL ADMINISTRATION BUILDING,(302) 739-5601,245 MCKEE ROAD,NOT AVAILABLE,DOVER,DE,19904,KENT,10001,ON THE NE SIDE OF MCKEE ROAD BETWEEN TAYLOR DRIVE AND OLD FORGE DRIVE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF CORRECTIONS,NOT AVAILABLE,10405491,1,-75.5490446,39.1739932,2232
-7961699.1188,5344228.2379,22,SUPREME COURT BUILDING,(603) 271-2646,1 CHARLES DOE DRIVE,NOT AVAILABLE,CONCORD,NH,03301,MERRIMACK,33013,"LOCATED ON THE WEST SIDE OF CHARLES DOE DRIVE, 0.32 MILES SW OF THE NORTHERNMOST INTERSECTION OF CHARLES DOE DRIVE AND HAZEN DRIVE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,JUDICIAL BRANCH,NOT AVAILABLE,10404449,1,-71.5211598,43.2115547,N/A
-7961599.5976,5344164.5596,23,AMINISTRATIVE OFFICE OF THE COURTS BUILDING,(603) 271-2521,2 CHARLES DOE DRIVE,NOT AVAILABLE,CONCORD,NH,03301,MERRIMACK,33013,"LOCATED ON THE SE SIDE OF CHARLES DOE DRIVE, 0.20 MILES SW OF THE SOUTHERNMOST INTERSECTION OF CHARLES DOE DRIVE AND HAZEN DRIVE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,JUDICIAL BRANCH,NOT AVAILABLE,10404450,1,-71.5202657,43.2111379,N/A
-13679818.9068,5948535.3843,24,WASHINGTON STATE DEPARTMENT OF REVENUE,NOT AVAILABLE,1025 UNION AVENUE SE,NOT AVAILABLE,OLYMPIA,WA,98501,THURSTON,53067,LOCATED ON THE SW CORNER OF UNION AVENUE SE AND EASTSIDE STREET SE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"DEPARTMENT OF REVENUE; PROPERTY TAX",(360) 570-5900,10410286,2,-122.8879037,47.039571,1539
-13681844.0402,5939639.9831,25,TOWN CENTER 1,(360) 236-4580,101 ISRAEL ROAD SE,NOT AVAILABLE,OLYMPIA,WA,98501,THURSTON,53067,LOCATED ON THE SE CORNER OF ISRAEL ROAD SE AND CAPITOL BOULEVARD SW,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,"DEPARTMENT OF HEALTH;  COMMUNITY AND FAMILY HEALTH",(360) 236-3703,10410301,2,-122.9060962,46.9850859,N/A
-8080701.8868,5505528.7573,26,VERMONT DEPARTMENT OF LABOR,(802) 828-4000,5 GREEN MOUNTAIN DRIVE,NOT AVAILABLE,MONTPELIER,VT,05602,WASHINGTON,50023,LOCATED ON THE NW SIDE OF GREEN MOUNTAIN DRIVE 0.11 MILES SW OF MEMORIAL DRIVE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF LABOR,NOT AVAILABLE,10405396,1,-72.5901797,44.2584712,2708
-13683489.7877,5939338.9173,27,WASHINGTON STATE DEPARTMENT OF LABOR AND INDUSTRIES,(360) 902-5799,7273 LINDERSON WAY,NOT AVAILABLE,OLYMPIA,WA,98501,THURSTON,53067,"LOCATED ON THE WEST SIDE OF LINDERSON WAY SW, BETWEEN 73RD AVENUE SE AND ISRAEL ROAD SW",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF LABOR AND INDUSTRIES,(360) 902-5799,10410312,1,-122.9208802,46.9832404,5414
-8238768.4363,4969371.8963,28,EQUITABLE BUILDING,NOT AVAILABLE,120 BROADWAY,NOT AVAILABLE,NEW YORK,NY,10271,NEW YORK,36061,LOCATED ON THE SOUTH CORNER OF BROADWAY AND CEDAR STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"CIVIL SERVICE, DEPARTMENT OF; LAW - ATTORNEY GENERAL, DEPARTMENT OF",(212) 416-8400,10404777,2,-74.0101158,40.7080358,0002
-10880110.2161,3539369.8857,29,LYNDON B JOHNSON BUILDING,NOT AVAILABLE,111 EAST 17TH STREET,NOT AVAILABLE,AUSTIN,TX,78711,TRAVIS,48453,LOCATED ON THE SW SIDE OF EAST 17TH STREET 0.06 MILES SE OF CONGRESS AVENUE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"UNITED STATES POSTAL SERVICE; TX BUILDING AND PROCUREMENT COMMISSION; COMPTROLLER OF PUBLIC ACCOUNTS; DEPARTMENT OF INFORMATION RESOURCES; BLIND COMMISSION FRANCHISE",(512) 936-6100,10404682,5,-97.737693,30.278275,1440
-11883933.8546,3799797.126,30,NEW MEXICO DEPARTMENT OF AGRICULTURE BUILDING,(505) 646-3007,3190 SOUTH ESPINA STREET,NOT AVAILABLE,LAS CRUCES,NM,88003,DONA ANA,35013,LOCATED ON THE NW QUADRANT OF SOUTH ESPINA STREET AND GREGG STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,NEW MEXICO DEPARTMENT OF AGRICULTURE,(505) 646-3007,10404995,1,-106.7551939,32.2775379,1232
-9955606.2978,5317279.0959,31,WISCONSIN PUBLIC BROADCASTING CENTER,NOT AVAILABLE,3319 WEST BELTLINE HIGHWAY,NOT AVAILABLE,MADISON,WI,53713,DANE,55025,"LOCATED ON THE SOUTH SIDE OF WEST BELTLINE HIGHWAY, BETWEEN GRANDVIEW BOULEVARD AND LANDMARK PLACE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"EDUCATIONAL COMMUNICATIONS BOARD; LABOR AND INDUSTRY REVIEW COMMISSION; SOUTHERN WI EDUCATIONAL COMMUNICATIONS SERVICE",(608) 264-9600,10404799,3,-89.432733,43.034858,2834
-9376650.6668,3558714.7604,32,NEIL KIRKMAN BUILDING,(850) 617-3911,2900 APALACHEE PARKWAY,NOT AVAILABLE,TALLAHASSEE,FL,32301,LEON,12073,LOCATED ON THE NE CORNER OF RICHVIEW ROAD AND APALACHEE PARKWAY,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF HIGHWAY SAFETY AND MOTOR VEHICLES,(850) 617-3911,10405334,1,-84.2318858,30.4282328,6552
-10258702.0075,4660655.0721,33,LEWIS AND CLARK STATE OFFICE BUILDING,NOT AVAILABLE,1101 RIVERSIDE DRIVE,NOT AVAILABLE,JEFFERSON CITY,MO,65101,COLE,29051,"LOCATED ON THE WEST SIDE OF RIVERA STREET, APPROXIMATELY 0.22 MILES NORTH OF RIVERSIDE DRIVE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,DEPARTMENT OF NATURAL RESOURCES,(573) 751-3443,10405360,1,-92.1554882,38.5727492,N/A
-10266353.66,4663486.9533,34,MISSOURI DEPARTMENT OF CORRECTIONS,(573) 751-2389,2729 PLAZA DRIVE,NOT AVAILABLE,JEFFERSON CITY,MO,65109,COLE,29051,"LOCATED ON THE SOUTH SIDE OF PLAZA DRIVE, BETWEEN COMMERCE DRIVE AND METRO DRIVE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF CORRECTIONS,(573) 751-2389,10405372,1,-92.2242238,38.5926358,1146
-9447811.4315,4607792.4918,35,STATE OFFICE BUILDING ANNEX,NOT AVAILABLE,125 HOLMES STREET,NOT AVAILABLE,FRANKFORT,KY,40601,FRANKLIN,21073,"LOCATED ON THE SOUTH SIDE OF HOLMES STREET, 0.06 MILES EAST OF HIGH STREET",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"JUSTICE AND PUBLIC SAFETY CABINET; VEHICLE ENFORCEMENT, DEPARTMENT OF KENTUCKY",(502) 564-7554,10404489,2,-84.8711342,38.2005279,2108
-10650489.276,4728953.8613,36,KANSAS HIGHWAY PATROL,(785) 296-6800,122 SOUTHWEST 7TH STREET,NOT AVAILABLE,TOPEKA,KS,66603,SHAWNEE,20177,NORTH SIDE OF SW 7TH STREET BETWEEN SOUTH KANSAS AVENUE AND SW JACKSON STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,KANSAS HIGHWAY PATROL,(785) 296-6800,10407605,1,-95.674973,39.050821,3802
-10364017.2661,5614680.6916,37,ADMINISTRATION BUILDING,NOT AVAILABLE,50 SHERBURNE AVENUE,NOT AVAILABLE,SAINT PAUL,MN,55155,RAMSEY,27123,LOCATED ON THE SOUTH SIDE OF SHERBURNE AVENUE BETWEEN CAPITOL BOULEVARD AND CEDAR STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"DEPARTMENT OF ADMINISTRATION; CAPITOL AREA ARCHITECTURAL AND PLANNING BOARD; EXECUTIVE COUNCIL",(651) 201-2555,10406663,3,-93.1015512,44.9565302,1402
-10363807.4189,5614169.6062,38,CENTENNIAL OFFICE BUILDING,NOT AVAILABLE,658 CEDAR STREET,NOT AVAILABLE,SAINT PAUL,MN,55155,RAMSEY,27123,LOCATED ON THE SE CORNER OF CEDAR STREET AND REVEREND DOCTOR MARTIN LUTHER KING JUNIOR BOULEVARD,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"CAMPAIGN FINANCE AND PUBLIC DISCLOSURE BOARD; COUNCIL ON ASIAN-PACIFIC MINNESOTANS; DEPARTMENT OF EMPLOYEE RELATIONS; DEPARTMENT OF FINANCE; OFFICE OF THE LEGISLATIVE AUDITOR; OFFICE OF ENTERPRISE TECHNOLOGY",(651) 296-5148,10406666,6,-93.0996666,44.9532816,1603
-13681708.5586,5948109.396,39,TEMPLE OF JUSTICE,(360) 357-2077,415 12TH AVENUE SW,NOT AVAILABLE,OLYMPIA,WA,98501,THURSTON,53067,LOCATED ON THE SW CORNER OF 12TH AVENUE SW AND CHERRY LANE SW,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,SUPREME COURT,(360) 357-2077,10410160,1,-122.9048794,47.036963,N/A
-13681328.9674,5948749.8512,40,DAVIS WILLIAM BUILDING,(360) 725-4000,906 COLUMBIA STREET SW,NOT AVAILABLE,OLYMPIA,WA,98501,THURSTON,53067,ENTITY IS LOCATED ON THE EAST SIDE OF COLUMBIA STREET SW BETWEEN TALCOTT AVENUE SW AND 9TH AVENUE SW,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,"CORRECTIONS HEADQUARTERS, STATE DEPARTMENT OF TRADE AND ECONOMIC DEVELOPMENT",(360) 725-4000,10405444,1,-122.9014689,47.0408833,1216
-13679883.0273,5948393.1029,41,DEPARTMENT OF VETERANS AFFAIRS,(360) 725-2200,1102 QUINCE STREET SE,NOT AVAILABLE,OLYMPIA,WA,98501,THURSTON,53067,"LOCATED ON THE EAST SIDE OF QUINCE STREET SE, APPROXIMATELY 0.08 MILES SOUTH OF UNION AVENUE SE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF VETERANS AFFAIRS,(360) 725-2200,10410502,1,-122.88848,47.0386995,2462
-7228599.0441,2077488.7277,42,DEPARTMENT OF FINANCE,(340) 774-4750,2314 KRONPRINDSENS GADE,NOT AVAILABLE,CHARLOTTE AMALIE,VI,00802,ST THOMAS,78030,LOCATED ON THE SOUTH SIDE OF KRONPRINDSENS GADE BETWEEN GENERAL GADE AND BRAND ALLY,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF FINANCE,(340) 774-1553,10405021,1,-64.9356098,18.3408965,6468
-9414604.7045,5276923.0743,43,DEPARTMENT OF MILITARY AND VETERANS AFFAIRS,(517) 481-8000,3411 NORTH MARTIN LUTHER KING JUNIOR BOULEVARD,NOT AVAILABLE,LANSING,MI,48906,INGHAM,26065,LOCATED ON THE WEST SIDE OF NORTH MARTIN LUTHER KING JUNIOR BOULEVARD IN BETWEEN WEST SHERIDAN ROAD AND TERMINAL ROAD,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,MILITARY AND VETERANS AFFAIR,NOT AVAILABLE,10405184,1,-84.572833,42.769303,2934
-12931703.3974,5394322.2147,44,IDAHO STATE LIQUOR DISPENSARY,(208) 947-9400,1349 EAST BEECHCRAFT COURT,NOT AVAILABLE,BOISE,ID,83716,ADA,16001,FROM THE INTERSECTION OF EAST BEECHCRAFT COURT AND SOUTH EISENMAN ROAD GO 0.12 MILES SW ON EAST BEECHCRAFT COURT BUILDING LOCATED AT DEADEND OF SW SIDE,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,IDAHO LIQUOR DISPENSARY,NOT AVAILABLE,10405251,1,-116.1674685,43.538648,9608
-12470007.9115,5878616.2395,45,MONTANA DEPARTMENT OF LOTTERY COMMISSION,(406) 444-5825,2525 NORTH MONTANA AVENUE,NOT AVAILABLE,HELENA,MT,59601,LEWIS AND CLARK,30049,"LOCATED ON THE EAST SIDE OF NORTH MONTANA AVENUE, BETWEEN ORANGE AVENUE AND CHERRY AVENUE",921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,DEPARTMENT OF LOTTERY,(406) 444-5825,10405193,1,-112.019987,46.609811,0511
-12934970.9684,5406238.9998,46,IDAHO STATE SUPREME COURT,(208) 334-2210,451 WEST STATE STREET,NOT AVAILABLE,BOISE,ID,83702,ADA,16001,LOCATED ON THE SW SIDE OF WEST STATE STREET IN BETWEEN NORTH 5TH STREET AND NORTH 4TH STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,YES,"IDAHO SUPREME COURT;  IDAHO COURT OF APPEALS; IDAHO LAW LIBRARY",NOT AVAILABLE,10405200,3,-116.1968208,43.6161994,6057
-9447884.2295,4607724.339,47,STATE OFFICE BUILDING,NOT AVAILABLE,501 HIGH STREET,NOT AVAILABLE,FRANKFORT,KY,40601,FRANKLIN,21073,LOCATED ON THE EAST SIDE OF HIGH STREET 0.06 MILES NE OF THE INTERSECTION CLINTON STREET AND HIGH STREET,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,PERSONNEL CABINET,(502) 564-8339,10404498,1,-84.8717883,38.2000469,2167
-9448406.7669,4608234.1664,48,CAPITAL PLAZA TOWER,NOT AVAILABLE,500 MERO STREET,NOT AVAILABLE,FRANKFORT,KY,40601,FRANKLIN,21073,LOCATED ON THE NE SIDE OF MERO STREET 0.07 MILES SE OF THE INTERSECTION OF MERO STREET AND US-421,921190,"PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT",ONENTITY,N/A,"COMMERCE CABINET; EDUCATION CABINET; EDUCATION, DEPARTMENT OF; ENVIRONMENTAL AND PUBLIC PROTECTION CABINET; PARKS, KENTUCKY DEPARTMENT OF; TOURISM, DEPARTMENT OF; WORKFORCE INVESTMENT, DEPARTMENT OF",NOT AVAILABLE,10404497,7,-84.8764819,38.2036456,1987
